@relation 'Metro_Interstate_Traffic_Volume_final-weka.filters.unsupervised.attribute.Remove-R6,8-11-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute holiday {'New Years Day',None,'Martin Luther King Jr Day','Washingtons Birthday','Memorial Day','Independence Day','State Fair','Labor Day'}
@attribute temp numeric
@attribute rain_1h numeric
@attribute snow_1h numeric
@attribute clouds_all numeric
@attribute weather_description {'sky is clear',mist,'broken clouds','overcast clouds','light snow',haze,'scattered clouds','few clouds','light intensity drizzle',fog,snow,'heavy snow','proximity thunderstorm','shower drizzle','light rain',drizzle,'moderate rain','thunderstorm with light drizzle','proximity shower rain','light shower snow',thunderstorm,sleet,'Sky is Clear','thunderstorm with light rain','proximity thunderstorm with rain','thunderstorm with heavy rain','heavy intensity rain','thunderstorm with rain','heavy intensity drizzle',smoke,'light intensity shower rain','proximity thunderstorm with drizzle'}
@attribute hour numeric
@attribute traffic_volume numeric

@data
None,0.03064,0,0,0.01087,'sky is clear',0.173913,813
None,0.0408,0,0,0.01087,'sky is clear',0.217391,2629
None,0.039054,0,0,0.01087,'sky is clear',0.26087,5002
None,0.036514,0,0,0.054348,'sky is clear',0.304348,5906
None,0.027147,0,0,0.054348,'sky is clear',0.347826,4742
None,0.030481,0,0,0.01087,haze,0.391304,4704
None,0.057787,0,0,0.054348,'sky is clear',0.434783,4279
None,0.079378,0,0,0.054348,'sky is clear',0.478261,4566
None,0.100492,0,0,0.434783,'scattered clouds',0.521739,4989
None,0.125893,0,0,0.434783,'scattered clouds',0.565217,4968
None,0.140657,0,0,0.01087,'sky is clear',0.608696,5315
None,0.146055,0,0,0.434783,'scattered clouds',0.652174,5867
None,0.14923,0,0,0.01087,'sky is clear',0.695652,6504
None,0.138752,0,0,0.434783,'scattered clouds',0.73913,6185
None,0.125734,0,0,0.434783,'scattered clouds',0.782609,4611
None,0.103191,0,0,0.434783,'scattered clouds',0.826087,3652
None,0.079378,0,0,0.01087,'sky is clear',0.869565,2880
None,0.058263,0,0,0.054348,'sky is clear',0.913043,2815
None,0.046674,0,0,0.01087,'sky is clear',0.956522,2978
None,0.032862,0,0,0.01087,'sky is clear',1,1805
None,0.024448,0,0,0.01087,'sky is clear',0,1003
None,0.009049,0,0,0.01087,mist,0.043478,673
None,0.011748,0,0,0.01087,mist,0.086957,483
None,0.004286,0,0,0.01087,'sky is clear',0.130435,319
None,0.001111,0,0,0.01087,'sky is clear',0.173913,383
None,0.001111,0,0,0.01087,'sky is clear',0.217391,694
None,0,0,0,0.01087,'sky is clear',0.26087,1129
None,0.002064,0,0,0.054348,'sky is clear',0.304348,1728
None,0.008573,0,0,0.054348,haze,0.347826,2487
None,0.015876,0,0,0.01087,mist,0.391304,3046
None,0.063343,0,0,0.217391,mist,0.434783,3593
None,0.125893,0,0,0.217391,'few clouds',0.478261,4092
None,0.163201,0,0,0.217391,'few clouds',0.521739,4506
None,0.190506,0,0,0.01087,'sky is clear',0.565217,4501
None,0.208446,0,0,0.978261,'overcast clouds',0.608696,4857
None,0.217654,0,0,0.815217,'broken clouds',0.652174,4519
None,0.223369,0,0,0.434783,'scattered clouds',0.695652,4486
None,0.219876,0,0,0.01087,'sky is clear',0.73913,4536
None,0.219876,0,0,0.978261,'overcast clouds',0.782609,3801
None,0.219082,0,0,0.978261,'overcast clouds',0.826087,3174
None,0.225433,0,0,0.978261,'overcast clouds',0.869565,2556
None,0.227496,0,0,0.978261,'overcast clouds',0.913043,2463
None,0.232894,0,0,0.815217,'broken clouds',0.956522,2801
None,0.236069,0,0,0.978261,'light snow',1,2089
None,0.242419,0,0,0.815217,'light snow',0,1053
None,0.251627,0,0,0.815217,'light snow',0.043478,648
None,0.254009,0,0,0.978261,'overcast clouds',0.086957,540
None,0.259406,0,0,0.434783,'scattered clouds',0.130435,313
None,0.263058,0,0,0.434783,'scattered clouds',0.173913,260
None,0.266391,0,0,0.434783,'scattered clouds',0.217391,442
None,0.264645,0,0,0.815217,'broken clouds',0.26087,769
None,0.277346,0,0,0.978261,'overcast clouds',0.304348,1024
None,0.281156,0,0,0.815217,'broken clouds',0.347826,1695
None,0.289094,0,0,0.01087,'sky is clear',0.391304,2516
None,0.302746,0,0,0.815217,'broken clouds',0.434783,3256
None,0.319733,0,0,0.01087,'sky is clear',0.478261,3670
None,0.342912,0,0,0.815217,'broken clouds',0.521739,4070
None,0.361962,0,0,0.815217,'broken clouds',0.565217,4065
None,0.369424,0,0,0.815217,'broken clouds',0.608696,4409
None,0.376409,0,0,0.815217,'broken clouds',0.652174,4082
None,0.383235,0,0,0.434783,'scattered clouds',0.695652,4050
None,0.384505,0,0,0.815217,'broken clouds',0.73913,4099
None,0.375298,0,0,0.815217,'broken clouds',0.782609,3388
None,0.373075,0,0,0.815217,'broken clouds',0.826087,2780
None,0.379902,0,0,0.815217,'broken clouds',0.869565,2261
None,0.393555,0,0,0.815217,'broken clouds',0.913043,1800
None,0.401334,0,0,0.434783,'scattered clouds',0.956522,1433
None,0.404509,0,0,0.815217,'broken clouds',1,1073
None,0.401334,0,0,0.434783,'scattered clouds',0,455
None,0.383077,0,0,0.01087,'sky is clear',0.043478,289
None,0.36736,0,0,0.01087,'sky is clear',0.086957,220
None,0.364026,0,0,0.01087,mist,0.130435,361
None,0.363074,0,0,0.01087,mist,0.173913,820
None,0.364979,0,0,0.01087,'sky is clear',0.217391,2809
None,0.355612,0,0,0.01087,'sky is clear',0.26087,5189
None,0.354818,0,0,0.054348,'sky is clear',0.304348,6048
None,0.352596,0,0,0.01087,'sky is clear',0.347826,5751
None,0.347039,0,0,0.434783,'scattered clouds',0.391304,4728
None,0.365137,0,0,0.01087,'sky is clear',0.434783,4138
None,0.397841,0,0,0.815217,'broken clouds',0.478261,4324
None,0.404826,0,0,0.01087,'sky is clear',0.521739,4512
None,0.427528,0,0,0.217391,'few clouds',0.565217,4786
None,0.436577,0,0,0.01087,'sky is clear',0.608696,4880
None,0.446579,0,0,0.434783,'scattered clouds',0.652174,5406
None,0.451659,0,0,0.434783,'scattered clouds',0.695652,6458
None,0.432926,0,0,0.434783,'scattered clouds',0.73913,5732
None,0.398,0,0,0.434783,'scattered clouds',0.782609,4446
None,0.366249,0,0,0.217391,'few clouds',0.826087,2836
None,0.349262,0,0,0.434783,'scattered clouds',0.869565,2416
None,0.347039,0,0,0.01087,'sky is clear',0.913043,2076
None,0.340848,0,0,0.01087,'sky is clear',0.956522,1481
None,0.334498,0,0,0.01087,'sky is clear',1,948
None,0.34434,0,0,0.01087,'sky is clear',0,560
None,0.340848,0,0,0.815217,'broken clouds',0.043478,342
None,0.355612,0,0,0.815217,'broken clouds',0.086957,239
None,0.370376,0,0,0.434783,'scattered clouds',0.130435,334
None,0.381013,0,0,0.434783,'scattered clouds',0.173913,832
None,0.390062,0,0,0.978261,mist,0.217391,2972
None,0.401334,0,0,0.815217,'broken clouds',0.26087,5674
None,0.403556,0,0,0.434783,'scattered clouds',0.304348,6229
None,0.40816,0,0,0.815217,'broken clouds',0.347826,5965
None,0.412764,0,0,0.978261,'overcast clouds',0.391304,5124
None,0.426576,0,0,0.815217,'broken clouds',0.434783,4348
None,0.44134,0,0,0.434783,'scattered clouds',0.478261,4473
None,0.462454,0,0,0.434783,'scattered clouds',0.521739,5034
None,0.476107,0,0,0.434783,'scattered clouds',0.565217,4784
None,0.498492,0,0,0.434783,'scattered clouds',0.608696,5065
None,0.502778,0,0,0.815217,'broken clouds',0.652174,5589
None,0.496587,0,0,0.815217,'broken clouds',0.695652,6559
None,0.49103,0,0,0.815217,'broken clouds',0.73913,6104
None,0.477377,0,0,0.815217,'broken clouds',0.782609,4405
None,0.468328,0,0,0.815217,'broken clouds',0.826087,3001
None,0.462613,0,0,0.815217,'broken clouds',0.869565,2604
None,0.458009,0,0,0.815217,'broken clouds',0.913043,2931
None,0.457057,0,0,0.01087,'sky is clear',0.956522,3488
None,0.453564,0,0,0.01087,'sky is clear',1,1125
None,0.445626,0,0,0.01087,'sky is clear',0,583
None,0.441022,0,0,0.01087,'sky is clear',0.043478,327
None,0.435466,0,0,0.01087,'sky is clear',0.086957,270
None,0.429751,0,0,0.978261,haze,0.130435,336
None,0.429751,0,0,0.978261,mist,0.130435,336
None,0.435466,0,0,0.01087,mist,0.173913,887
None,0.435466,0,0,0.01087,haze,0.173913,887
None,0.438165,0,0,0.01087,mist,0.217391,2944
None,0.438165,0,0,0.01087,haze,0.217391,2944
None,0.440387,0,0,0.434783,mist,0.26087,5614
None,0.440387,0,0,0.434783,haze,0.26087,5614
None,0.439276,0,0,0.978261,mist,0.304348,6228
None,0.439276,0,0,0.978261,haze,0.304348,6228
None,0.442451,0,0,0.978261,mist,0.347826,5842
None,0.442451,0,0,0.978261,haze,0.347826,5842
None,0.442451,0,0,0.978261,mist,0.391304,5145
None,0.442451,0,0,0.978261,haze,0.391304,5145
None,0.444515,0,0,0.978261,mist,0.434783,4552
None,0.444515,0,0,0.978261,haze,0.434783,4552
None,0.446738,0,0,0.978261,mist,0.478261,4623
None,0.454675,0,0,0.978261,mist,0.521739,4911
None,0.455787,0,0,0.978261,mist,0.565217,4926
None,0.458327,0,0,0.815217,haze,0.608696,5315
None,0.458327,0,0,0.815217,mist,0.608696,5315
None,0.458327,0,0,0.978261,haze,0.652174,5681
None,0.458327,0,0,0.978261,mist,0.652174,5681
None,0.45531,0,0,0.978261,mist,0.695652,6602
None,0.45531,0,0,0.978261,haze,0.695652,6602
None,0.458168,0,0,0.978261,mist,0.73913,6128
None,0.458168,0,0,0.978261,haze,0.73913,6128
None,0.449913,0,0,0.978261,'light intensity drizzle',0.782609,4520
None,0.449913,0,0,0.978261,mist,0.782609,4520
None,0.447849,0,0,0.978261,mist,0.826087,2986
None,0.447849,0,0,0.978261,'light intensity drizzle',0.869565,2642
None,0.447849,0,0,0.978261,mist,0.869565,2642
None,0.447849,0,0,0.978261,fog,0.869565,2642
None,0.446738,0,0,0.978261,'light intensity drizzle',0.913043,2342
None,0.446738,0,0,0.978261,mist,0.913043,2342
None,0.446738,0,0,0.978261,fog,0.913043,2342
None,0.445626,0,0,0.978261,'light intensity drizzle',0.956522,1596
None,0.445626,0,0,0.978261,mist,0.956522,1596
None,0.445626,0,0,0.978261,fog,0.956522,1596
None,0.445626,0,0,0.978261,'light intensity drizzle',1,1115
None,0.445626,0,0,0.978261,mist,1,1115
None,0.445626,0,0,0.978261,fog,1,1115
None,0.442292,0,0,0.978261,'light intensity drizzle',0,568
None,0.442292,0,0,0.978261,mist,0,568
None,0.442292,0,0,0.978261,fog,0,568
None,0.441022,0,0,0.978261,'light intensity drizzle',0.043478,352
None,0.441022,0,0,0.978261,mist,0.043478,352
None,0.428639,0,0,0.978261,'light intensity drizzle',0.086957,291
None,0.428639,0,0,0.978261,mist,0.086957,291
None,0.428639,0,0,0.978261,fog,0.086957,291
None,0.403874,0,0,0.978261,'light intensity drizzle',0.130435,391
None,0.403874,0,0,0.978261,mist,0.130435,391
None,0.368312,0,0,0.978261,'light intensity drizzle',0.173913,855
None,0.368312,0,0,0.978261,mist,0.173913,855
None,0.368312,0,0,0.978261,'light snow',0.173913,855
None,0.347039,0,0,0.978261,mist,0.217391,2869
None,0.347039,0,0,0.978261,'light snow',0.217391,2869
None,0.323226,0,0,0.978261,mist,0.26087,4869
None,0.323226,0,0,0.978261,haze,0.26087,4869
None,0.323226,0,0,0.978261,'light snow',0.26087,4869
None,0.283061,0,0,0.978261,'light snow',0.304348,4601
None,0.283061,0,0,0.978261,mist,0.304348,4601
None,0.266074,0,0,0.978261,'light snow',0.347826,4475
None,0.266074,0,0,0.978261,mist,0.347826,4475
None,0.242896,0,0,0.978261,'light snow',0.391304,4021
None,0.242896,0,0,0.978261,mist,0.391304,4021
None,0.229401,0,0,0.978261,'light snow',0.434783,3559
None,0.229401,0,0,0.978261,mist,0.434783,3559
None,0.22702,0,0,0.978261,'light snow',0.478261,3524
None,0.22702,0,0,0.978261,mist,0.478261,3524
None,0.219717,0,0,0.978261,'light snow',0.521739,3587
None,0.219717,0,0,0.978261,mist,0.521739,3587
None,0.212415,0,0,0.978261,snow,0.565217,3293
None,0.212415,0,0,0.978261,mist,0.565217,3293
None,0.208763,0,0,0.978261,snow,0.608696,3557
None,0.208763,0,0,0.978261,mist,0.608696,3557
None,0.203842,0,0,0.978261,'light snow',0.652174,4081
None,0.203842,0,0,0.978261,mist,0.652174,4081
None,0.200191,0,0,0.978261,'light snow',0.695652,4269
None,0.203842,0,0,0.978261,'light snow',0.73913,4178
None,0.203842,0,0,0.978261,haze,0.73913,4178
None,0.206223,0,0,0.815217,'light snow',0.782609,3130
None,0.203842,0,0,0.434783,'scattered clouds',0.826087,2480
None,0.19765,0,0,0.054348,'sky is clear',0.869565,2251
None,0.184156,0,0,0.054348,'sky is clear',0.913043,2081
None,0.176853,0,0,0.01087,'sky is clear',0.956522,1450
None,0.155739,0,0,0.01087,'sky is clear',1,949
None,0.135418,0,0,0.01087,'sky is clear',0,566
None,0.121924,0,0,0.01087,'sky is clear',0.043478,335
None,0.104779,0,0,0.01087,'sky is clear',0.086957,272
None,0.085252,0,0,0.01087,'sky is clear',0.130435,353
None,0.075568,0,0,0.01087,'sky is clear',0.173913,828
None,0.063343,0,0,0.01087,'sky is clear',0.217391,2728
None,0.053659,0,0,0.01087,'sky is clear',0.26087,4791
None,0.043816,0,0,0.054348,'sky is clear',0.304348,5517
None,0.036514,0,0,0.054348,'sky is clear',0.347826,4240
None,0.035244,0,0,0.054348,'sky is clear',0.391304,4565
None,0.049849,0,0,0.054348,'sky is clear',0.434783,3988
None,0.069376,0,0,0.054348,'sky is clear',0.478261,4440
None,0.097476,0,0,0.054348,'sky is clear',0.521739,4958
None,0.121924,0,0,0.054348,'sky is clear',0.565217,4928
None,0.140181,0,0,0.054348,'sky is clear',0.608696,5078
None,0.147642,0,0,0.054348,'sky is clear',0.652174,5560
None,0.157644,0,0,0.01087,'sky is clear',0.695652,5841
None,0.150818,0,0,0.01087,'sky is clear',0.73913,5779
None,0.136053,0,0,0.054348,'sky is clear',0.782609,4677
None,0.121765,0,0,0.054348,'sky is clear',0.826087,3348
None,0.10589,0,0,0.054348,'sky is clear',0.869565,2690
None,0.105414,0,0,0.054348,'sky is clear',0.913043,2573
None,0.086839,0,0,0.01087,'sky is clear',0.956522,2440
None,0.089697,0,0,0.01087,'sky is clear',1,1654
None,0.087315,0,0,0.01087,'sky is clear',0,1032
None,0.086204,0,0,0.01087,'sky is clear',0.043478,601
None,0.072551,0,0,0.01087,'sky is clear',0.086957,467
None,0.063502,0,0,0.01087,'sky is clear',0.130435,361
None,0.047627,0,0,0.01087,'sky is clear',0.173913,388
None,0.0408,0,0,0.01087,'sky is clear',0.217391,647
None,0.037784,0,0,0.01087,'sky is clear',0.26087,1175
None,0.027147,0,0,0.054348,'sky is clear',0.304348,1720
None,0.018257,0,0,0.054348,'sky is clear',0.347826,2582
None,0.023655,0,0,0.054348,'sky is clear',0.391304,3473
None,0.052072,0,0,0.054348,'sky is clear',0.434783,3916
None,0.076996,0,0,0.01087,'sky is clear',0.478261,4155
None,0.11224,0,0,0.054348,'sky is clear',0.521739,4379
None,0.130338,0,0,0.01087,'sky is clear',0.565217,4595
None,0.143991,0,0,0.01087,'sky is clear',0.608696,4212
None,0.15304,0,0,0.01087,'sky is clear',0.652174,3941
None,0.159867,0,0,0.054348,'sky is clear',0.695652,3601
None,0.152405,0,0,0.054348,'sky is clear',0.73913,3374
None,0.129227,0,0,0.054348,'sky is clear',0.782609,3141
None,0.094301,0,0,0.054348,'sky is clear',0.826087,3479
None,0.079536,0,0,0.01087,'sky is clear',0.869565,3429
None,0.063661,0,0,0.054348,'sky is clear',0.913043,4055
None,0.056358,0,0,0.01087,'sky is clear',0.956522,2990
None,0.042546,0,0,0.01087,'sky is clear',1,1872
None,0.040324,0,0,0.01087,'sky is clear',0,1210
None,0.045722,0,0,0.01087,'sky is clear',0.043478,756
None,0.048897,0,0,0.01087,'sky is clear',0.086957,494
None,0.054136,0,0,0.01087,'sky is clear',0.130435,313
None,0.057946,0,0,0.01087,'sky is clear',0.173913,271
None,0.049849,0,0,0.01087,'sky is clear',0.217391,474
None,0.066836,0,0,0.434783,'scattered clouds',0.26087,735
None,0.094301,0,0,0.978261,'overcast clouds',0.304348,1296
None,0.121765,0,0,0.978261,'overcast clouds',0.347826,1880
None,0.143039,0,0,0.978261,'light snow',0.391304,2567
None,0.163042,0,0,0.978261,'light snow',0.434783,3338
None,0.163042,0,0,0.978261,mist,0.434783,3338
None,0.191459,0,0,0.978261,'light snow',0.478261,3771
None,0.191459,0,0,0.978261,mist,0.478261,3771
None,0.212732,0,0,0.978261,'light snow',0.521739,4175
None,0.212732,0,0,0.978261,haze,0.521739,4175
None,0.233529,0,0,0.978261,'light snow',0.565217,4567
None,0.233529,0,0,0.978261,haze,0.565217,4567
None,0.243848,0,0,0.978261,snow,0.608696,3873
None,0.243848,0,0,0.978261,mist,0.608696,3873
None,0.250833,0,0,0.978261,'heavy snow',0.652174,3383
None,0.250833,0,0,0.978261,fog,0.652174,3383
None,0.254009,0,0,0.978261,snow,0.695652,2769
None,0.254009,0,0,0.978261,mist,0.695652,2769
None,0.254009,0,0,0.978261,fog,0.695652,2769
None,0.262423,0,0,0.978261,snow,0.73913,2357
None,0.262423,0,0,0.978261,mist,0.73913,2357
None,0.262423,0,0,0.978261,fog,0.73913,2357
None,0.264169,0,0,0.978261,'light snow',0.782609,1935
None,0.264169,0,0,0.978261,mist,0.782609,1935
None,0.277187,0,0,0.978261,snow,0.826087,1800
None,0.277187,0,0,0.978261,mist,0.826087,1800
None,0.277822,0,0,0.978261,snow,0.869565,2218
None,0.277822,0,0,0.978261,mist,0.869565,2218
None,0.267662,0,0,0.978261,snow,0.913043,2264
None,0.267662,0,0,0.978261,mist,0.913043,2264
None,0.259247,0,0,0.978261,'light snow',0.956522,2292
None,0.259247,0,0,0.978261,mist,0.956522,2292
None,0.259247,0,0,0.978261,haze,0.956522,2292
None,0.2475,0,0,0.978261,'light snow',1,979
None,0.2475,0,0,0.978261,mist,1,979
'Martin Luther King Jr Day',0.245436,0,0,0.978261,'light snow',0,600
'Martin Luther King Jr Day',0.245436,0,0,0.978261,mist,0,600
'Martin Luther King Jr Day',0.245436,0,0,0.978261,haze,0,600
None,0.23591,0,0,0.978261,'light snow',0.043478,341
None,0.23591,0,0,0.978261,mist,0.043478,341
None,0.22321,0,0,0.978261,'light snow',0.086957,269
None,0.22321,0,0,0.978261,mist,0.086957,269
None,0.217971,0,0,0.978261,'light snow',0.130435,347
None,0.217971,0,0,0.978261,haze,0.130435,347
None,0.206382,0,0,0.978261,'light snow',0.173913,775
None,0.206382,0,0,0.978261,mist,0.173913,775
None,0.206382,0,0,0.978261,haze,0.173913,775
None,0.194634,0,0,0.978261,'light snow',0.217391,2183
None,0.194634,0,0,0.978261,mist,0.217391,2183
None,0.194634,0,0,0.978261,haze,0.217391,2183
None,0.185109,0,0,0.978261,'light snow',0.26087,3637
None,0.185109,0,0,0.978261,haze,0.26087,3637
None,0.177806,0,0,0.978261,'light snow',0.304348,3651
None,0.177806,0,0,0.978261,mist,0.304348,3651
None,0.177806,0,0,0.978261,haze,0.304348,3651
None,0.168281,0,0,0.978261,'light snow',0.347826,3231
None,0.168281,0,0,0.978261,mist,0.347826,3231
None,0.156533,0,0,0.978261,'light snow',0.391304,3410
None,0.156533,0,0,0.978261,haze,0.391304,3410
None,0.157644,0,0,0.978261,haze,0.434783,3307
None,0.157644,0,0,0.978261,'light snow',0.434783,3307
None,0.162089,0,0,0.815217,haze,0.478261,3638
None,0.162089,0,0,0.815217,'light snow',0.478261,3638
None,0.168281,0,0,0.815217,'light snow',0.521739,3970
None,0.168281,0,0,0.815217,haze,0.521739,3970
None,0.17352,0,0,0.978261,'light snow',0.565217,4207
None,0.17352,0,0,0.978261,haze,0.565217,4207
None,0.180981,0,0,0.978261,haze,0.608696,4440
None,0.182092,0,0,0.815217,'light snow',0.652174,4414
None,0.182092,0,0,0.815217,haze,0.652174,4414
None,0.179076,0,0,0.815217,'light snow',0.695652,4800
None,0.179076,0,0,0.815217,haze,0.695652,4800
None,0.171138,0,0,0.815217,'light snow',0.73913,4437
None,0.166534,0,0,0.978261,'light snow',0.782609,3528
None,0.168916,0,0,0.978261,'light snow',0.826087,2611
None,0.157803,0,0,0.978261,'light snow',0.869565,2162
None,0.157644,0,0,0.978261,'light snow',0.913043,1977
